Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1992,1992,1000 ha,0.62,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1993,1993,1000 ha,0.63,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1994,1994,1000 ha,0.65,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1995,1995,1000 ha,0.65,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1996,1996,1000 ha,0.66,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1997,1997,1000 ha,0.69,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1998,1998,1000 ha,0.69,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),1999,1999,1000 ha,0.69,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2000,2000,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2001,2001,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2002,2002,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2003,2003,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2004,2004,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2005,2005,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2006,2006,1000 ha,0.82,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2007,2007,1000 ha,0.83,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2008,2008,1000 ha,0.83,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2009,2009,1000 ha,0.83,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2010,2010,1000 ha,0.84,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2011,2011,1000 ha,0.84,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2012,2012,1000 ha,0.85,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2013,2013,1000 ha,0.87,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2014,2014,1000 ha,0.88,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2015,2015,1000 ha,0.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2016,2016,1000 ha,0.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2017,2017,1000 ha,0.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2018,2018,1000 ha,0.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2019,2019,1000 ha,0.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,0.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2020,2020,1000 ha,1.57,E,Estimated value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6970,Artificial surfaces (including urban and associated areas),2021,2021,1000 ha,2.06,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6971,Herbaceous crops,2015,2015,1000 ha,0.7,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6971,Herbaceous crops,2016,2016,1000 ha,0.66,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6971,Herbaceous crops,2017,2017,1000 ha,0.64,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6971,Herbaceous crops,2018,2018,1000 ha,0.63,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6971,Herbaceous crops,2019,2019,1000 ha,0.61,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2001,2001,1000 ha,0.77,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2002,2002,1000 ha,0.64,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2003,2003,1000 ha,0.87,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2004,2004,1000 ha,0.68,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2005,2005,1000 ha,0.66,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2006,2006,1000 ha,0.71,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2007,2007,1000 ha,0.71,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2008,2008,1000 ha,0.68,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2009,2009,1000 ha,0.72,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2010,2010,1000 ha,0.8,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2011,2011,1000 ha,0.82,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2012,2012,1000 ha,0.84,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2013,2013,1000 ha,0.74,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2014,2014,1000 ha,0.6,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2015,2015,1000 ha,0.57,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2016,2016,1000 ha,0.58,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2017,2017,1000 ha,0.57,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2018,2018,1000 ha,0.53,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2019,2019,1000 ha,0.53,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2020,2020,1000 ha,0.5,E,Estimated value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6971,Herbaceous crops,2021,2021,1000 ha,0.67,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1992,1992,1000 ha,4.82,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1993,1993,1000 ha,4.82,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1994,1994,1000 ha,4.82,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1995,1995,1000 ha,5.18,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1996,1996,1000 ha,5.18,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1997,1997,1000 ha,5.19,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1998,1998,1000 ha,5.55,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,1999,1999,1000 ha,5.93,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2000,2000,1000 ha,5.93,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2001,2001,1000 ha,6.36,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2002,2002,1000 ha,6.25,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2003,2003,1000 ha,6.39,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2004,2004,1000 ha,6.36,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2005,2005,1000 ha,5.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2006,2006,1000 ha,5.58,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2007,2007,1000 ha,5.58,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2008,2008,1000 ha,5.74,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2009,2009,1000 ha,5.86,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2010,2010,1000 ha,5.88,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2011,2011,1000 ha,5.74,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2012,2012,1000 ha,6,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2013,2013,1000 ha,6,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2014,2014,1000 ha,6.79,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2015,2015,1000 ha,6.69,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2016,2016,1000 ha,7.25,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2017,2017,1000 ha,7.34,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2018,2018,1000 ha,7.84,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2019,2019,1000 ha,8.47,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6971,Herbaceous crops,2020,2020,1000 ha,8.6,E,Estimated value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6971,Herbaceous crops,2020,2020,1000 ha,0.53,E,Estimated value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6971,Herbaceous crops,2021,2021,1000 ha,0.11,E,Estimated value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6972,Woody crops,2015,2015,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6972,Woody crops,2016,2016,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6972,Woody crops,2017,2017,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6972,Woody crops,2018,2018,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6972,Woody crops,2019,2019,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2001,2001,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2002,2002,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2003,2003,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2004,2004,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2005,2005,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2006,2006,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2007,2007,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2008,2008,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2009,2009,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2010,2010,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2011,2011,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2012,2012,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2013,2013,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2014,2014,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2015,2015,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2016,2016,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2017,2017,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2018,2018,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2019,2019,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6972,Woody crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1992,1992,1000 ha,24.08,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1993,1993,1000 ha,24.08,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1994,1994,1000 ha,24.08,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1995,1995,1000 ha,23.73,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1996,1996,1000 ha,23.75,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1997,1997,1000 ha,23.77,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1998,1998,1000 ha,23.49,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,1999,1999,1000 ha,23.3,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2000,2000,1000 ha,23.29,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2001,2001,1000 ha,23.32,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2002,2002,1000 ha,23.75,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2003,2003,1000 ha,23.57,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2004,2004,1000 ha,23.46,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2005,2005,1000 ha,23.98,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2006,2006,1000 ha,24.4,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2007,2007,1000 ha,24.39,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2008,2008,1000 ha,24.29,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2009,2009,1000 ha,24.43,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2010,2010,1000 ha,24.77,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2011,2011,1000 ha,25.08,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2012,2012,1000 ha,24.92,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2013,2013,1000 ha,24.91,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2014,2014,1000 ha,28.37,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2015,2015,1000 ha,28.44,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2016,2016,1000 ha,31.19,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2017,2017,1000 ha,32.66,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2018,2018,1000 ha,34.9,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2019,2019,1000 ha,37.71,E,Estimated value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6972,Woody crops,2020,2020,1000 ha,38.25,E,Estimated value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6972,Woody crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5013,Area from WorldCover,6972,Woody crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6973,Multiple or layered crops,2015,2015,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6973,Multiple or layered crops,2016,2016,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6973,Multiple or layered crops,2017,2017,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6973,Multiple or layered crops,2018,2018,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5006,Area from CGLS,6973,Multiple or layered crops,2019,2019,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2001,2001,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2002,2002,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2003,2003,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2004,2004,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2005,2005,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2006,2006,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2007,2007,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2008,2008,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2009,2009,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2010,2010,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2011,2011,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2012,2012,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2013,2013,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2014,2014,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2015,2015,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2016,2016,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2017,2017,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2018,2018,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2019,2019,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2020,2020,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5007,Area from MODIS,6973,Multiple or layered crops,2021,2021,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1992,1992,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1993,1993,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1994,1994,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1995,1995,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1996,1996,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1997,1997,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1998,1998,1000 ha,,O,Missing value
LC,Land Cover,090,Solomon Islands,5008,Area from CCI_LC,6973,Multiple or layered crops,1999,1999,1000 ha,,O,Missing value
